,"ukr","en","NOTES – use \n for newline","max length"
"menu_replayedit_title_keyboard","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.",,
"menu_replayedit_title_gamepad","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.",,
"menu_replayedit_saveasgif","Save as Gif [ENTER]","Save as Gif [ENTER]",,
"menu_replayedit_opengifdir","Open gif directory","Open gif directory",,
"menu_replayedit_size","Size: ","Size: ",,
"menu_replayedit_full","Full","Full",,
"menu_replayedit_sizeformat","$0x$1","$0x$1",,
"menu_replayedit_outputscale","Output scale: $0%","Output scale: $0%",,
"menu_replayedit_outputinfo1","Output: $0 frames - $1s","Output: $0 frames - $1s",,
"menu_replayedit_outputinfo2"," - $0x$1 px"," - $0x$1 px",,
"menu_replayedit_startclip_gamepad","[A] - start clip on hovered frame. ","[A] - start clip on hovered frame. ",,
"menu_replayedit_startclip_keyboard","Left click - start clip on hovered frame. ","Left click - start clip on hovered frame. ",,
"menu_replayedit_endclip_gamepad","[B] - end clip on hovered frame. ","[B] - end clip on hovered frame. ",,
"menu_replayedit_endclip_keyboard","Right click - end clip on hovered frame.","Right click - end clip on hovered frame.",,
"menu_replayedit_frame"," Frame = $0"," Frame = $0",,
"menu_replayedit_imagecenter","Left click - set image center.","Left click - set image center.",,
"progress_new","$0 (new)","$0 (new)",,
"log_golden_statue","Picked a golden statue","Picked a golden statue",,
"logdesc_golden_statue","You got $0 gold!","You got $0 gold!",,
"logdesc_heart_evil","Increased maximum health to $0 ...with the cost of being cursed!","Increased maximum health to $0 ...with the cost of being cursed!",,
"log_altar_magic","Your curiosity is rewarded","Your curiosity is rewarded",,
"log_altar_magic_monster","Your curiosity is rewarded, but...","Your curiosity is rewarded, but...",,
"log_altar_magic_worm","That is not what you seek!","That is not what you seek!",,
"log_moon_altar","The four essences reveal their secret","The four essences reveal their secret",,
"logdesc_moon_altar","The moon's egg cracks open. Its contents have been unlocked","The moon's egg cracks open. Its contents have been unlocked",,
"logdesc_moon_altar_drunk","The moon spills and unlocks its inebriating contents","The moon spills and unlocks its inebriating contents",,
"log_heart_fullhp_temple","Picked up Full Health Regeneration","Picked up Full Health Regeneration",,
"logdesc_heart_fullhp_temple","Increased maximum health by $0 and restored health to $1 (regained $2 health)","Increased maximum health by $0 and restored health to $1 (regained $2 health)",,
"log_worm_deflector_death","The worm crystal has shattered!","The worm crystal has shattered!",,
"logdesc_worm_deflector_death","You feel less safe...","You feel less safe...",,
"logdesc_heart_fullhp","Restored health to $0 (regained $1 health)","Restored health to $0 (regained $1 health)",,
"log_ocarina","The world around you changes!","The world around you changes!",,
"logdesc_ocarina","Your music released strange energies","Your music released strange energies",,
"log_ocarina_done","Seems like the musical energy is gone...","Seems like the musical energy is gone...",,
"log_overingestion_00","You're choking on food","You're choking on food",,
"log_overingestion_01","Eating any more might kill you","Eating any more might kill you",,
"log_overingestion_02","You're choking on food","You're choking on food",,
"log_overingestion_03","Eating any more might kill you","Eating any more might kill you",,
"log_overingestion_04","You're choking on food","You're choking on food",,
"log_overingestion_05","Eating any more might kill you","Eating any more might kill you",,
"log_overingestion_exploding_00","You're bursting at the seams","You're bursting at the seams",,
"log_overingestion_exploding_01","You're feeling like you'll soon explode","You're feeling like you'll soon explode",,
"log_overingestion_exploding_02","You're bursting at the seams","You're bursting at the seams",,
"log_overingestion_exploding_03","You're feeling like you'll soon explode","You're feeling like you'll soon explode",,
"log_overingestion_exploding_04","You're feeling an explosive tightness in your stomach","You're feeling an explosive tightness in your stomach",,
"log_overingestion_exploding_05","You're feeling an explosive tightness in your stomach","You're feeling an explosive tightness in your stomach",,
"log_kantele","The world around you changes!","The world around you changes!",,
"logdesc_kantele","Your music released strange energies","Your music released strange energies",,
"log_kantele_done","Seems like the musical energy is gone...","Seems like the musical energy is gone...",,
"log_alchemist_key_first","The key begins to hum!","The key begins to hum!",,
"logdesc_alchemist_key_first","Something is still missing...","Something is still missing...",,
"log_alchemist_key_second","The key begins to whisper!","The key begins to whisper!",,
"logdesc_alchemist_key_second","”I can give you so much in exchange for...”","”I can give you so much in exchange for...”",,
"log_alchemist_key_invalid","Nothing seemed to happen...","Nothing seemed to happen...",,
"log_alchemist_chest_open","The glass key speaks!","The glass key speaks!",,
"logdesc_alchemist_chest_open","The chest listens","The chest listens",,
"log_alchemist_chest_opened","The glass key speaks again!","The glass key speaks again!",,
"logdesc_alchemist_chest_opened","The chest keeps listening","The chest keeps listening",,
"log_castdelaying","CAST DELAY...","CAST DELAY...",,
"log_weathercrystal_broken","Cursed by greed!","Cursed by greed!",,
"logdesc_weathercrystal_broken","Your desire for treasures will surely be your undoing.","Your desire for treasures will surely be your undoing.",,
"log_curse_fade","The curse fades away","The curse fades away",,
"logdesc_curse_fade","You're safe again... for now","You're safe again... for now",,
"logdesc_gods_are_impressed","The Gods are very impressed with you","The Gods are very impressed with you",,
"logdesc_gods_are_afraid","The Gods are afraid","The Gods are afraid",,
"logdesc_gods_are_curious","The Gods are very curious","The Gods are very curious",,
"logdesc_temple_peace_temple_break","The Gods look the other way","The Gods look the other way",,
"log_altar_success_00","The Gods accept your sacrifice","The Gods accept your sacrifice",,
"log_altar_success_01","The Gods are satisfied with your sacrifice","The Gods are satisfied with your sacrifice",,
"log_altar_success_02","The Gods are happy with your sacrifice","The Gods are happy with your sacrifice",,
"log_altar_fail_00","The Gods aren't happy with your sacrifice","The Gods aren't happy with your sacrifice",,
"log_altar_fail_01","The Gods sneer at your untrained sacrifice","The Gods sneer at your untrained sacrifice",,
"log_altar_fail_02","The Gods mock your crude sacrifice","The Gods mock your crude sacrifice",,
"log_altar_fail_03","The Gods scorn at your illiterate sacrifice","The Gods scorn at your illiterate sacrifice",,
"log_reality_mutation_00","Your reality is shaken","Your reality is shaken",,
"log_reality_mutation_01","You sense things are no longer what they used to be","You sense things are no longer what they used to be",,
"log_reality_mutation_02","You feel something has changed","You feel something has changed",,
"log_reality_mutation_03","You feel the rules of the Cosmos have shifted","You feel the rules of the Cosmos have shifted",,
"log_reality_mutation_04","You sense the reality has shifted","You sense the reality has shifted",,
"log_reality_mutation_05","The reality has shifted","The reality has shifted",,
"status_reality_mutation","The reality has shifted","The reality has shifted",,
"statusdesc_reality_mutation","You sense things are no longer what they used to be.","You sense things are no longer what they used to be.",,
"booktitle_allspells","Map of Gnosis","Map of Gnosis",,
"bookdesc_allspells","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.",,
"reward_gold_statue","Golden statue","Golden statue",,
"reward_clock","Dedicated to 5 minutes","Dedicated to 5 minutes",,
"reward_minit","1 minute?!","1 minute?!",,
"reward_nolla","No gold","No gold",,
"reward_dollar","All the monies","All the monies",,
"reward_peace","Pacifist","Pacifist",,
"reward_crown","King","King",,
"reward_nohit","Undamaged","Undamaged",,
"controls_use","interact","interact",,
"controls_replayeditopen","save replay","save replay",,
"controls_usewand","use wand","use wand",,
"teleport_mystery","Portal to the Tower","Portal to the Tower",,
"teleport_mystery_back","Portal back to the Mountain","Portal back to the Mountain",,
"teleport_world","Portal to a faraway land","Portal to a faraway land",,
"teleport_deeper","Portal deeper","Portal deeper",,
"teleport_ending","Portal to The Laboratory","Portal to The Laboratory",,
"teleport_ending_victory","Portal to The Work","Portal to The Work",,
"teleport_end_wall","Portal to Crystal vault","Portal to Crystal vault",,
"teleport_generic","Portal","Portal",,
"teleport_back","Portal back","Portal back",,
"gamemode_normal","New Game","New Game",,
"gamemode_normal_desc","Explore a new world.\nThe original Noita experience.","Explore a new world.\nThe original Noita experience.",,
"gamemode_dailyrun","Daily Run","Daily Run",,
"gamemode_dailyrun_desc","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.",,
"gamemode_nightmare_exp","Nightmare (experimental)","Nightmare (experimental)",,
"gamemode_nightmare","Nightmare","Nightmare",,
"gamemode_nightmare_desc","For a more challenging experience.\nUnlock this mode by completing the game.","For a more challenging experience.\nUnlock this mode by completing the game.",,
"gamemode_newgameplus","New Game+ (experimental)","New Game+ (experimental)",,
"gamemode_newgameplus_desc","For a more challenging experience.\nUnlock this mode by completing the game.","For a more challenging experience.\nUnlock this mode by completing the game.",,
"gamemode_laboratory","Spell Lab","Spell Lab",,
"gamemode_laboratory_desc","Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.","Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.",,
"gamemode_comingsoon","Coming soon!","Coming soon!",,
