"","ukr","en","NOTES – use \n for newline","max length"
"menu_streaming_disconnect","Roz'jednaty","Disconnect","",""
"menu_streaming_connect_twitch","Pid'jednatysja do Twitch akauntu","Connect to Twitch account","",""
"menu_streaming_status_connecting"," - PID'JEDNANNJA..."," - CONNECTING...","",""
"menu_streaming_status_connected"," - PID'JEDNANO"," - CONNECTED","",""
"menu_streaming_status_failed_unknown"," - POMYLKA PID'JEDNANNJA"," - CONNECTION FAILED","",""
"menu_streaming_status_failed_serverconnection"," - NEMOŽLYVO ZNAJTY SERVER"," - COULDN'T FIND SERVER","",""
"menu_streaming_status_failed_timeout"," - ČAS VYJŠOV - TAKOĞO KANALU NEMAJE?"," - TIMEOUT - NO SUCH CHANNEL?","",""
"menu_streaming_connected","Pid'jednano do akaunta Twitch: $0","Connected to Twitch account: $0","",""
"menu_streaming_connect_failed","Pomylka avtentyfikaciï Twitch","Twitch authentication failed","",""
"menu_streaming_option","Inteğracija stryminğu: $0","Streaming integration: $0","",""
"menu_streaming_channelname","Nazva kanalu:","Channel name:","",""
"menu_streaming_voting","Ğolosy čatu: $0","Chat votes: $0","",""
"menu_streaming_voting_hint","Dozvolyty ğljadačam ğolosuvaty za podiï, ŝo vidbuvajutjsja v ğri.","Allow stream viewers to vote on events that take place in the game.","",""
"menu_streaming_allowusernames","Vidobražaty imena korystuvačiv","Display user names","",""
"menu_streaming_allowusernames_hint","Dozvolyty podiï, jaki vidobražajutj imena korystuvačiv z čatu","Allow events that display chat user names","",""
"menu_streaming_timebetweenvotes","Čas miž ğolosuvannjamy","Time between votes","",""
"menu_streaming_timebetweenvotes_hint","","","",""
"menu_streaming_timevoting","Čas ğolosuvannja","Voting time","",""
"menu_streaming_timevoting_hint","Tryvalistj odnoğo ğolosuvannja","The duration of a single vote","",""
"menu_streaming_playvotesound","Vidtvoryty zvuk pry novomu ğolosuvanni: $0","Play sound on new vote: $0","",""
"menu_streaming_distribution","Rozpodil podij dlja ğolosuvannja","Vote event distribution","",""
"menu_streaming_distribution_hint","Žaxlyvi = duže jmovirno zakinčytj vaš zabiğ.\nPoğani = možutj statysja poğani reči.\nNejtraljni = j ne poğani, j ne xoroši.\nXoroši = biljše zdorov'ja ta inšyx korysnyx podij.","Awful = very likely to ruin your run..\nBad = bad things can happen.\nNeutral = not necessarily goot or bad.\nGood = more health and other helpful events.","",""
"menu_streaming_distribution_awful","Žaxlyva","Awful","",""
"menu_streaming_distribution_bad","Poğana","Bad","",""
"menu_streaming_distribution_neutral","Nejtraljna","Neutral","",""
"menu_streaming_distribution_good","Xoroša","Good","",""
"menu_streaming_usernames_ghosts","Kryxitnyx pryvydiv možna nazvaty na čestj ğljadačiv: $0","Tiny ghosts can be named after viewers: $0","",""
"menu_streaming_usernames_rats","Nazyvaty ŝuriv na čestj ğljadačiv: $0","Rats can be named after viewers: $0","",""
"menu_streaming_installmods","Vstanovyty modyfikaciï dlja transljacij","Install streaming integration mods","",""
"menu_streaming_mod","Modyfikacija dlja transljaciï","Streaming integration content mod","",""
"streaming_integration_connectionerror","Pomylka z'jednannja!","Connection error!","",""
"streaming_integration_nextvotein","Nastupne ğolosuvannja čerez $0 s","Next vote in $0 s","",""
"streaming_integration_voteendsin","Ğolosuvannja zakinčujetjsja čerez $0 s","Voting ends in $0 s","",""
"streaming_integration_voteoptionformat","$0 ($1) <$2","$0 ($1) <$2","",""
"streaming_integration_votetie","Ničyja! Obyrajemo vypadkovoğo peremožcja","It's a tie! Picking random winner","",""
"streaming_integration_winner","Peremožecj:","The winner is:","",""
"menu_replayedit_writinggif","Zapysujetjsja gif, budj laska, začekajte. Natysnitj $0, ŝob skasuvaty","Writing gif - please wait – press $0 to cancel","",""
"menu_replayedit_writinggif_frameprogress","Kadr - $0 / $1 - $2%","Frame - $0 / $1 - $2%","",""
"menu_replayedit_writinggif_timeremaining","$0 s zalyšylosja","$0 s remaining","",""
"menu_replayedit_returntogame","Povernutysja do ğry $0","Return to game $0","",""
"menu_replayedit_title_keyboard_exp","REDAKTOR VIDTVORENNJA KLIPIV (eksperymentaljnyj) - Klacnitj PKM/LKM na kadrax, ŝob vstanovyty počatkovu ta kincevu točky klipu.","REPLAY CLIP EDITOR (experimental) - Right/Left click on frames to set clip start and end points.","",""
"menu_replayedit_title_gamepad_exp","REDAKTOR VIDTVORENNJA KLIPIV (eksperymentaljnyj) - [A] - počatok klipu na vydilenomu kadri. [B] - kinecj klipu na vydilenomu kadri.","REPLAY CLIP EDITOR (experimental) - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","",""
"menu_replayedit_title_keyboard","REDAKTOR VIDTVORENNJA KLIPU - Klacnitj PKM/LKM na kadrax, ŝob vstanovyty počatkovu ta kincevu točky klipu.","REPLAY CLIP EDITOR - Right/Left click on frames to set clip start and end points.","",""
"menu_replayedit_title_gamepad","REDAKTOR VIDTVORENNJA KLIPU - [A] - počatok klipu na vydilenomu kadri. [B] - kinecj klipu na vydilenomu kadri.","REPLAY CLIP EDITOR - [A] - start clip on hovered frame. [B] - end clip on hovered frame.","",""
"menu_replayedit_saveasgif","Zbereğty jak Gif [ENTER]","Save as Gif [ENTER]","",""
"menu_replayedit_opengifdir","Vidkryty teku z Gif","Open gif directory","",""
"menu_replayedit_size","Rozmir: ","Size: ","",""
"menu_replayedit_full","Povnyj","Full","",""
"menu_replayedit_sizeformat","$0x$1","$0x$1","",""
"menu_replayedit_outputscale","Masštab vyxodu: $0%","Output scale: $0%","",""
"menu_replayedit_outputinfo1","Vyxidni dani: $0 kadriv - $1 s","Output: $0 frames - $1s","",""
"menu_replayedit_outputinfo2"," - $0x$1 pikseliv"," - $0x$1 px","",""
"menu_replayedit_startclip_gamepad","[A] — počaty klipu na vydilenomu kadri. ","[A] - start clip on hovered frame. ","",""
"menu_replayedit_startclip_keyboard","LKM — počaty klipu na vydilenomu kadri. ","Left click - start clip on hovered frame. ","",""
"menu_replayedit_endclip_gamepad","[B] — zaveršyty klip na vydilenomu kadri. ","[B] - end clip on hovered frame. ","",""
"menu_replayedit_endclip_keyboard","PKM — zaveršyty klip na kadri, na jakyj vy navelysja.","Right click - end clip on hovered frame.","",""
"menu_replayedit_frame"," Kadr = $0"," Frame = $0","",""
"menu_replayedit_imagecenter","LKM — vstanovyty centr zobražennja.","Left click - set image center.","",""
"progress_new","$0 (Nove)","$0 (new)","",""
"log_golden_statue","Pidnjato zolotu statuetku","Picked a golden statue","",""
"logdesc_golden_statue","Vy otrymaly $0 zolota!","You got $0 gold!","",""
"logdesc_heart_evil","Zbiljšeno maksymaljne zdorov'ja do $0 ...cinoju prokljattja!","Increased maximum health to $0 ...with the cost of being cursed!","",""
"log_altar_magic","Vaša cikavistj vynağorodžena","Your curiosity is rewarded","",""
"log_altar_magic_monster","Vaša cikavistj vynağorodžena, ale...","Your curiosity is rewarded, but...","",""
"log_altar_magic_worm","Ce ne te, ŝo vy šukajete!","That is not what you seek!","",""
"log_moon_altar","Čotyry esenciï rozkryvajutj svoju tajemnycju","The four essences reveal their secret","",""
"logdesc_moon_altar","Misjačne jajce trisnulo. Joğo vmist rozblokovanyj.","The moon's egg cracks open. Its contents have been unlocked","",""
"logdesc_moon_altar_drunk","Misjacj rozlyvajetjsja i vidkryvaje svij p'jankyj vmist","The moon spills and unlocks its inebriating contents","",""
"log_heart_fullhp_temple","Otrymano povne vidnovlennja zdorov'ja","Picked up Full Health Regeneration","",""
"logdesc_heart_fullhp_temple","Zbiljšeno maksymaljne zdorov'ja na $0 i vidnovleno zdorov'ja do $1 (vidnovleno $2 zdorov'ja)","Increased maximum health by $0 and restored health to $1 (regained $2 health)","",""
"log_worm_deflector_death","Krystal xrobaka rozbytyj!","The worm crystal has shattered!","",""
"logdesc_worm_deflector_death","Vy vidčuvajete sebe menš bezpečno...","You feel less safe...","",""
"logdesc_heart_fullhp","Vidnovleno zdorov'ja do $0 (vidnovleno $1 zdorov'ja)","Restored health to $0 (regained $1 health)","",""
"log_ocarina","Svit navkolo vas zminjujetjsja!","The world around you changes!","",""
"logdesc_ocarina","Vaša muzyka vyviljnyla dyvnu enerğiju","Your music released strange energies","",""
"log_ocarina_done","Sxože, ŝo muzyčna enerğija znykla...","Seems like the musical energy is gone...","",""
"log_overingestion_00","Vy davytesja ïžeju","You're choking on food","",""
"log_overingestion_01","Jakŝo vy z'ïste biljše, ce može vbyty vas","Eating any more might kill you","",""
"log_overingestion_02","Vy davytesja ïžeju","You're choking on food","",""
"log_overingestion_03","Jakŝo z'ïsty biljše, ce može vbyty vas","Eating any more might kill you","",""
"log_overingestion_04","Vy davytesja ïžeju","You're choking on food","",""
"log_overingestion_05","Jakŝo z'ïsty biljše, ce može vbyty vas","Eating any more might kill you","",""
"log_overingestion_exploding_00","Vy triŝyte po švax","You're bursting at the seams","",""
"log_overingestion_exploding_01","Vy vidčuvajete, ŝo osj-osj vybuxnete","You're feeling like you'll soon explode","",""
"log_overingestion_exploding_02","Vy triŝyte po švax","You're bursting at the seams","",""
"log_overingestion_exploding_03","Vy vidčuvajete, ŝo osj-osj vybuxnete","You're feeling like you'll soon explode","",""
"log_overingestion_exploding_04","Vy vidčuvajete vybuxove stysnennja v žyvoti","You're feeling an explosive tightness in your stomach","",""
"log_overingestion_exploding_05","Vy vidčuvajete vybuxove stysnennja v žyvoti","You're feeling an explosive tightness in your stomach","",""
"log_kantele","Svit navkolo zminjujetjsja!","The world around you changes!","",""
"logdesc_kantele","Vaša muzyka vyviljnyla dyvnu enerğiju","Your music released strange energies","",""
"log_kantele_done","Zdajetjsja, muzyčna enerğija znykla...","Seems like the musical energy is gone...","",""
"log_alchemist_key_first","Ključ počynaje dzyžčaty!","The key begins to hum!","",""
"logdesc_alchemist_key_first","Čoğosj vse ŝe ne vystačaje...","Something is still missing...","",""
"log_alchemist_key_second","Ključ počynaje šepotity!","The key begins to whisper!","",""
"logdesc_alchemist_key_second","«Ja možu daty tobi tak bağato v obmin na...»","”I can give you so much in exchange for...”","",""
"log_alchemist_key_invalid","Zdavalosja b, ničoğo ne stalosja...","Nothing seemed to happen...","",""
"log_alchemist_chest_open","Kryštalevyj ključ zağovoryv!","The glass key speaks!","",""
"logdesc_alchemist_chest_open","Skrynja sluxaje","The chest listens","",""
"log_alchemist_chest_opened","Kryštalevyj ključ znovu zağovoryv!","The glass key speaks again!","",""
"logdesc_alchemist_chest_opened","Skrynja prodovžuje sluxaty","The chest keeps listening","",""
"log_castdelaying","ZATRYMKA ČAKLUVANNJA...","CAST DELAY...","",""
"log_weathercrystal_broken","Vy prokljati žadibnistju!","Cursed by greed!","",""
"logdesc_weathercrystal_broken","Vaše prağnennja do skarbiv neodminno stane vašoju poğybellju.","Your desire for treasures will surely be your undoing.","",""
"log_curse_fade","Prokljattja znykaje","The curse fades away","",""
"logdesc_curse_fade","Vy znovu v bezpeci... poky ŝo","You're safe again... for now","",""
"logdesc_gods_are_impressed","Boğy duže vraženi vamy","The Gods are very impressed with you","",""
"logdesc_gods_are_afraid","Boğy naljakani","The Gods are afraid","",""
"logdesc_gods_are_curious","Boğy duže zacikavleni","The Gods are very curious","",""
"logdesc_temple_peace_temple_break","Boğy dyvljatjsja v inšyj bik","The Gods look the other way","",""
"log_altar_success_00","Boğy pryjmajutj vašu žertvu","The Gods accept your sacrifice","",""
"log_altar_success_01","Boğy zadovoleni vašoju žertvoju","The Gods are satisfied with your sacrifice","",""
"log_altar_success_02","Boğy radi vašij žertvi","The Gods are happy with your sacrifice","",""
"log_altar_fail_00","Boğy ne radi vašij žertvi","The Gods aren't happy with your sacrifice","",""
"log_altar_fail_01","Boğy nasmixajutjsja nad vašym nepidğotovlenym žertvoprynošennjam","The Gods sneer at your untrained sacrifice","",""
"log_altar_fail_02","Boğy nasmixajutjsja z vašoï ğruboï žertvy","The Gods mock your crude sacrifice","",""
"log_altar_fail_03","Boğy nasmixajutjsja nad vašym bezğramotnym žertvoprynošennjam","The Gods scorn at your illiterate sacrifice","",""
"log_reality_mutation_00","Vaša realjnistj poxytnulasja","Your reality is shaken","",""
"log_reality_mutation_01","Vy vidčuvajete, ŝo reči vže ne taki, jak zazvyčaj","You sense things are no longer what they used to be","",""
"log_reality_mutation_02","Vy vidčuvajete, ŝo ŝosj zminylosja","You feel something has changed","",""
"log_reality_mutation_03","Vy vidčuvajete, ŝo pravyla Kosmosu zminylysja","You feel the rules of the Cosmos have shifted","",""
"log_reality_mutation_04","Vy vidčuvajete, ŝo realjnistj zminylasja","You sense the reality has shifted","",""
"log_reality_mutation_05","Realjnistj zminylasja","The reality has shifted","",""
"status_reality_mutation","Realjnistj zminylasja","The reality has shifted","",""
"statusdesc_reality_mutation","Vy vidčuvajete, ŝo reči vže ne taki, jak zazvyčaj.","You sense things are no longer what they used to be.","",""
"booktitle_allspells","Mapa Gnozysu","Map of Gnosis","",""
"bookdesc_allspells","Nixto inšyj, jak ty je včytelem istyny,\n de b i z jakoğo b džerela vona ne z'javylasja.\n \nTy ne počuješ vid mene ničoğo pravdyvoğo, čoğo b ty sam meni ne skazav.\n \nIstynno, koly ty ne jšov zi mnoju,\n navčajučy mene, čoğo unykaty i čoğo šukaty....\nBez tebe ja ne zmiğ by rozğledity ničoğo z cjoğo.","None other than you is teacher of the truth,\nwherever and from whatever source it is manifest.\n \nYou hear nothing true from me which you have not first told me.\n \nTruth, when did you ever fail to walk with me,\nteaching me what to avoid and what to seek....\nWithout you I could discern none of these things.","",""
"reward_gold_statue","Zolota statuetka","Golden statue","",""
"reward_clock","Prysvjačujetjsja 5 xvylynam","Dedicated to 5 minutes","",""
"reward_minit","1 xvylyna?!","1 minute?!","",""
"reward_nolla","Bez zolota","No gold","",""
"reward_dollar","Vsi ğroši","All the monies","",""
"reward_peace","Pacyfizm","Pacifist","",""
"reward_crown","Korolj","King","",""
"reward_nohit","Neuškodženyj","Undamaged","",""
"controls_use","Vzajemodijaty","interact","",""
"controls_replayeditopen","Zbereğty povtor","save replay","",""
"controls_usewand","Vykorystaty palyčku","use wand","",""
"teleport_mystery","Portal do Veži","Portal to the Tower","",""
"teleport_mystery_back","Portal nazad do Ğory","Portal back to the Mountain","",""
"teleport_world","Portal u daleki zemli","Portal to a faraway land","",""
"teleport_deeper","Portal ğlybše","Portal deeper","",""
"teleport_ending","Portal do Laboratoriï","Portal to The Laboratory","",""
"teleport_ending_victory","Portal do Tvoru","Portal to The Work","",""
"teleport_end_wall","Portal do kryštalevoğo sxovyŝa","Portal to Crystal vault","",""
"teleport_generic","Portal","Portal","",""
"teleport_back","Portal nazad","Portal back","",""
"gamemode_normal","Nova ğra","New Game","",""
"gamemode_normal_desc","Dosliditj novyj svit.\nOryğinaljnyj dosvid Noita.","Explore a new world.\nThe original Noita experience.","",""
"gamemode_dailyrun","Ŝodennyj zabiğ","Daily Run","",""
"gamemode_dailyrun_desc","Novyj denj — novyj svit.\nDejaki počatkovi predmety vypadkovi.\nKožen ğravecj ğraje z identyčnym ključem ğeneraciï.\nBudjte oberežni, vy možete ziğraty lyše raz na 24 ğodyny.","New day, new world.\nSome starting items are randomized.\nEvery player is playing the same seed.\nBe careful, you can only play once in 24 hours.","",""
