"","ukr","en","","","NOTES – use \n for newline","max length"
"gamemode_newgameplus_desc","Для більш випробувального досвіду.\nВідкривається після проходження гри.","For a more challenging experience.\nUnlock this mode by completing the game.","","","",""
"gamemode_laboratory","Spell Lab","Spell Lab","","","",""
"gamemode_laboratory_desc","Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.","Play around with magic to your heart's content.\nDeath is not a problem.\nUnlock new spells for this mode by casting them.","","","",""
"gamemode_comingsoon","Незабаром!","Coming soon!","","","",""
"gamemode_comingsoon_desc","Це таємниця.","It's a mystery.","","","",""
"gamemode_nightmare_desc_PETRI_is_this_correct_new_nightmare_description","Every day a new run setup and a\n chance to play later biomes.\n Play the same seed as many times as you want.","Every day a new run setup and a\n chance to play later biomes.\n Play the same seed as many times as you want.","","","",""
"gamemode_daily_practice_run","Daily Practice Run","Daily Practice Run","","","",""
"gamemode_daily_practice_run_desc","Start a run from a randomized spot,\nwith randomized items.\nYou can try the same seed as many times as you like\nwithin 24 hours.","Start a run from a randomized spot,\nwith randomized items.\nYou can try the same seed as many times as you like\nwithin 24 hours.","","","",""
"new_game_for_newgame_plus","НОВА ГРА","NEW GAME","","","",""
"building_worm_deflector","Кристал хробака","Worm crystal","","","",""
"stat_modsenabled","Модифікації:","Mods enabled:","","","",""
"damage_curse","прокляття","curse","","","",""
"damage_rock_curse","проклятий камінь","cursed rock","","","",""
"damage_overeating","переїдання","overeating","","","",""
"damage_midas","мідас","midas","","","",""
"menureleasenotes_betawarning","Welcome to the Noita 1.0 Beta version!\nBe warned, the game will probably be less stable here compared to the master branch.\nHappy noiting!","Welcome to the Noita 1.0 Beta version!\nBe warned, the game will probably be less stable here compared to the master branch.\nHappy noiting!","","","",""
"menureleasenotes_betawarning2","Welcome to the Noita beta branch!\nBe warned, the game will probably be less stable here compared to the master branch.","Welcome to the Noita beta branch!\nBe warned, the game will probably be less stable here compared to the master branch.","","","",""
"inventory_chargecapacity_tooltip","The amount of charge this wand can store.","The amount of charge this wand can store.","","","",""
"infinity_symbol","∞","∞","","","",""
"credits_game_by","ГРУ ВІД","A GAME BY","","","",""
"ingestion_status_caused_by","Cause: Ingesting $0.","Cause: Ingesting $0.","","","",""
"ingestion_status_caused_by_many","Cause: Ingesting $0 and more.","Cause: Ingesting $0 and more.","","","",""
"ingestion_status_caused_by_overingestion","Причина: Переїдання","Cause: Overeating","","","",""
"status_confusion","Спантеличення","Confused","","","",""
"statusdesc_confusion","Ви почуваєтеся спантеличеним.","You feel confused.","","","",""
"status_movement_faster","Greased lightning.","Greased lightning.","","","",""
"statusdesc_movement_faster","You feel extremely fast.","You feel extremely fast.","","","",""
"status_worm_attractor","Їжа для хробака","Worm food","","","",""
"statusdesc_worm_attractor","Ви відчуваєте себе майбутньою їжею для хробаків.","You feel like you're future worm food.","","","",""
"status_protection_all","Захист від всього","Protection from all","","","",""
"statusdesc_protection_all","Ви відчуваєте дивну силу в вашому тілі.","You feel strange strength in your body.","","","",""
"status_mana_regeneration","Регенерація мани","Mana regeneration","","","",""
"statusdesc_mana_regeneration","Ви швидше відновлюєте ману.","You gain mana back faster.","","","",""
"status_internal_fire","Внутрішній вогонь","Internal fire","","","",""
"statusdesc_internal_fire","Ви палаєте зсередини.","You're burning inside.","","","",""
"status_cryptpoison","Ancient venom poisoning","Ancient venom poisoning","","","",""
"statusdesc_cryptpoison","You lose health until you locate a rare antidote.","You lose health until you locate a rare antidote.","","","",""
"status_satiated00","Minimally satiated","Minimally satiated","","","",""
"statusdesc_satiated00","Your stomach is almost empty.","Your stomach is almost empty.","","","",""
"status_satiated01","Ситий","Satiated","","","",""
"statusdesc_satiated01","You can still fit more in your stomach.","You can still fit more in your stomach.","","","",""
"status_satiated02","Повністю ситий","Fully satiated","","","",""
"statusdesc_satiated02","You're feeling full. Any more food will make movement difficult.","You're feeling full. Any more food will make movement difficult.","","","",""
"status_satiated03","Переїдання","Oversatiated","","","",""
"statusdesc_satiated03","You're feeling really full.","You're feeling really full.","","","",""
"status_satiated04","Жахливе переїдання","Terribly oversatiated","","","",""
"statusdesc_satiated04","You're feeling sickly full. Any more food might hurt you.","You're feeling sickly full. Any more food might hurt you.","","","",""
"status_satiated05","Choking","Choking","","","",""
"statusdesc_satiated05","You're feeling sickly full and choking.","You're feeling sickly full and choking.","","","",""
"status_satiated06","Choking and bloated","Choking and bloated","","","",""
"statusdesc_satiated06","You most certainly don't feel like eating more.","You most certainly don't feel like eating more.","","","",""
"status_ingestion_damage","Choking","Choking","","","",""
"statusdesc_ingestion_damage","Any more food or drinking will hurt you.","Any more food or drinking will hurt you.","","","",""
"status_ingestion_exploding","Bursting at the seams","Bursting at the seams","","","",""
"statusdesc_ingestion_exploding","You're feeling so full you might explode.","You're feeling so full you might explode.","","","",""
"status_ingestion_alcoholic_00","Mildly boozed","Mildly boozed","","","",""
"statusdesc_ingestion_alcoholic_00","You're feeling a little tipsy.","You're feeling a little tipsy.","","","",""
"status_ingestion_alcoholic_01","Drunk","Drunk","","","",""
"statusdesc_ingestion_alcoholic_01","You drank too much.\nAiming is disturbed.","You drank too much.\nAiming is disturbed.","","","",""
"status_ingestion_alcoholic_02","Wasted","Wasted","","","",""
"statusdesc_ingestion_alcoholic_02","You drank way too much.\nAiming is disturbed.\nDrinking more will make you Poisoned","You drank way too much.\nAiming is disturbed.\nDrinking more will make you Poisoned","","","",""
"status_ingestion_alcoholic_03","Wasted","Wasted","","","",""
"statusdesc_ingestion_alcoholic_03","You drank way too much.\nAiming is disturbed.\nDrinking more will give you brain damage","You drank way too much.\nAiming is disturbed.\nDrinking more will give you brain damage","","","",""
"status_brain_damage","Brain Damage","Brain Damage","","","",""
"statusdesc_brain_damage","Your aim is permanently disturbed.","Your aim is permanently disturbed.","","","",""
